,index,name,diet,period,Lived In,type,length,species,link,Start Year (Mil. Years Ago),End Year (Mil. Years Ago),Existance Span (Mil. Years)
133,134,hylaeosaurus,herbivorous,Early Cretaceous,United Kingdom,armoured dinosaur,5.0m,armatus,https://www.nhm.ac.uk/discover/dino-directory/hylaeosaurus.html,150.0,135.0,15
134,135,hypacrosaurus,herbivorous,Late Cretaceous,USA,euornithopod,9.0m,altispinus,https://www.nhm.ac.uk/discover/dino-directory/hypacrosaurus.html,70.0,0.0,70
135,136,hypsilophodon,herbivorous,Early Cretaceous,United Kingdom,euornithopod,2.3m,foxii,https://www.nhm.ac.uk/discover/dino-directory/hypsilophodon.html,125.0,0.0,125
136,137,iguanodon,herbivorous,Early Cretaceous,United Kingdom,euornithopod,10.0m,bernissartensis,https://www.nhm.ac.uk/discover/dino-directory/iguanodon.html,140.0,110.0,30
137,138,indosuchus,carnivorous,Late Cretaceous,India,large theropod,7.0m,raptorius,https://www.nhm.ac.uk/discover/dino-directory/indosuchus.html,71.0,65.0,6
138,139,irritator,carnivorous,Early Cretaceous,Brazil,large theropod,6.5m,challengeri,https://www.nhm.ac.uk/discover/dino-directory/irritator.html,112.0,99.0,13
139,140,isisaurus,herbivorous,Late Cretaceous,India,sauropod,,colberti,https://www.nhm.ac.uk/discover/dino-directory/isisaurus.html,71.0,65.0,6
140,141,janenschia,herbivorous,Late Jurassic,Tanzania,sauropod,20.0m,robusta,https://www.nhm.ac.uk/discover/dino-directory/janenschia.html,154.0,151.0,3
141,142,jaxartosaurus,herbivorous,Late Cretaceous,Kazakhstan,euornithopod,9.0m,aralensis,https://www.nhm.ac.uk/discover/dino-directory/jaxartosaurus.html,94.0,84.0,10
142,143,jingshanosaurus,herbivorous,Early Jurassic,China,sauropod,5.0m,xinwaensis,https://www.nhm.ac.uk/discover/dino-directory/jingshanosaurus.html,205.0,190.0,15
143,144,jinzhousaurus,herbivorous,Early Cretaceous,China,euornithopod,,yangi,https://www.nhm.ac.uk/discover/dino-directory/jinzhousaurus.html,127.0,121.0,6
144,145,jobaria,herbivorous,Early Cretaceous,Niger,sauropod,21.0m,tiguidensis,https://www.nhm.ac.uk/discover/dino-directory/jobaria.html,132.0,94.0,38
145,146,juravenator,carnivorous,Late Jurassic,Germany,small theropod,0.8m,starki,https://www.nhm.ac.uk/discover/dino-directory/juravenator.html,154.0,151.0,3
146,147,kentrosaurus,herbivorous,Late Jurassic,Tanzania,armoured dinosaur,5.0m,aethiopicus,https://www.nhm.ac.uk/discover/dino-directory/kentrosaurus.html,155.0,150.0,5
147,148,khaan,omnivorous,Late Cretaceous,Mongolia,small theropod,1.8m,mckennai,https://www.nhm.ac.uk/discover/dino-directory/khaan.html,81.0,75.0,6
148,149,kotasaurus,herbivorous,Early Jurassic,India,sauropod,9.0m,yamanpalliensis,https://www.nhm.ac.uk/discover/dino-directory/kotasaurus.html,205.0,180.0,25
149,150,kritosaurus,herbivorous,Late Cretaceous,USA,euornithopod,8.0m,navajovius,https://www.nhm.ac.uk/discover/dino-directory/kritosaurus.html,78.0,74.0,4
150,151,lambeosaurus,herbivorous,Late Cretaceous,Canada,euornithopod,9.0m,lambei,https://www.nhm.ac.uk/discover/dino-directory/lambeosaurus.html,76.0,74.0,2
151,152,lapparentosaurus,herbivorous,Mid Jurassic,Madagascar,sauropod,,madagascariensis,https://www.nhm.ac.uk/discover/dino-directory/lapparentosaurus.html,169.0,164.0,5
152,153,leaellynasaura,herbivorous,Early Cretaceous,Australia,euornithopod,2.0m,amicagraphica,https://www.nhm.ac.uk/discover/dino-directory/leaellynasaura.html,115.0,110.0,5
153,154,leptoceratops,herbivorous,Late Cretaceous,USA,ceratopsian,3.0m,gracilis,https://www.nhm.ac.uk/discover/dino-directory/leptoceratops.html,67.0,65.0,2
154,155,lesothosaurus,herbivorous,Early Jurassic,Lesotho,1.0m,,diagnosticus,https://www.nhm.ac.uk/discover/dino-directory/lesothosaurus.html,213.0,200.0,13
